iid1	iid2	max_ibd	sum_ibd_8	n_ibd_8	sum_ibd_12	n_ibd_12	sum_ibd_16	n_ibd_16	sum_ibd_20	n_ibd_20	frac_gp1	frac_gp2
RKC029	RKC013	283.7959	3399.336610631211	23	3399.336610631211	23	3399.336610631211	23	3399.336610631211	23	0.8196183774103641	0.8838485112178881
RKF238	RKC031	268.781	3393.5143692713937	22	3393.5143692713937	22	3393.5143692713937	22	3393.5143692713937	22	0.8913144918214723	0.913119695307278
RKF196	RKF195	283.6522	3390.161188355484	22	3390.161188355484	22	3390.161188355484	22	3390.161188355484	22	0.8742133605740734	0.8762816389845257
RKF142	RKC020	283.6522	3388.9591635589445	23	3388.9591635589445	23	3388.9591635589445	23	3388.9591635589445	23	0.8843655808205012	0.9128674662328328
KFJ017	KFJ018	283.6065	3387.165170402546	22	3387.165170402546	22	3387.165170402546	22	3387.165170402546	22	0.8991462045830023	0.9185804547690212
RKF148	RKF182	268.781	3382.774786915787	23	3382.774786915787	23	3382.774786915787	23	3382.774786915787	23	0.8562924848347269	0.8842899120981675
RKF002	RKF142	279.9365	3382.286278200608	21	3382.286278200608	21	3382.286278200608	21	3382.286278200608	21	0.8210308602272584	0.8843655808205012
RKF118	RKF162	283.6522	3375.669994146721	22	3375.669994146721	22	3375.669994146721	22	3375.669994146721	22	0.8588652213940701	0.8697615174101119
RKC029	RKC011	281.96099000000004	3370.393182288742	27	3370.393182288742	27	3370.393182288742	27	3370.393182288742	27	0.8196183774103641	0.8776562874402533
RKF172	RKF052	268.79148000000004	3368.8302488527684	23	3368.8302488527684	23	3368.8302488527684	23	3368.8302488527684	23	0.7945972532253793	0.8246377359918278
KFJ009	KFJ012	283.0235	3361.3078882317195	26	3361.3078882317195	26	3361.3078882317195	26	3361.3078882317195	26	0.722384069211658	0.871350560579118
RKF034	RKF143	268.45309999999995	3352.7545961576843	25	3352.7545961576843	25	3352.7545961576843	25	3352.7545961576843	25	0.8514370751516527	0.8982886257298879
RKF136	RKF237	283.6522	3349.75727581585	22	3349.75727581585	22	3349.75727581585	22	3349.75727581585	22	0.846745614366968	0.8981751226463874
KFJ009	KFJ022	283.3468	3346.2272869117905	25	3346.2272869117905	25	3346.2272869117905	25	3346.2272869117905	25	0.722384069211658	0.9113036459712712
RKF140	RKF142	283.3546	3339.657226901493	26	3339.657226901493	26	3339.657226901493	26	3339.657226901493	26	0.7660953678130478	0.8843655808205012
RKF047	RKF160	283.56571	3337.8929	20	3337.8929	20	3337.8929	20	3337.8929	20	0.8884012460116277	0.8971157605337167
RKF164	RKF185	268.0523	3337.6474822771256	27	3337.6474822771256	27	3324.010682277126	26	3324.010682277126	26	0.7855926752676781	0.8066664144375922
RKF172	RKF175	268.781	3336.9813260511555	28	3336.9813260511555	28	3323.0547246412434	27	3323.0547246412434	27	0.7945972532253793	0.810197621479828
RKC011	RKC028	280.96040000000005	3336.6347000000005	20	3336.6347000000005	20	3336.6347000000005	20	3336.6347000000005	20	0.8776562874402533	0.9073184265950336
RKF199	RKF142	283.6442	3333.056881821136	24	3333.056881821136	24	3333.056881821136	24	3333.056881821136	24	0.8234396478882121	0.8843655808205012
RKC021	RKC018	223.235	3332.8299599108886	22	3332.8299599108886	22	3332.8299599108886	22	3332.8299599108886	22	0.8912388230991386	0.9011262028173987
HNJ012	HNJ010	268.78788	3332.0811857194067	26	3332.0811857194067	26	3332.0811857194067	26	3332.0811857194067	26	0.7849116567666755	0.8756258433909677
RKF047	RKF037	283.60560000000004	3330.276086622971	22	3330.276086622971	22	3330.276086622971	22	3330.276086622971	22	0.8884012460116277	0.8975193270528293
RKF210	RKF213	283.5924	3330.2242952763977	22	3330.2242952763977	22	3316.0418945729675	21	3316.0418945729675	21	0.8723720883306219	0.8949970363083752
RKF155	RKF031	283.56571	3330.1191172525328	21	3330.1191172525328	21	3330.1191172525328	21	3330.1191172525328	21	0.8712748918567843	0.8852357711273379
KFJ041	KFJ045	283.6522	3329.941799226639	21	3329.941799226639	21	3329.941799226639	21	3329.941799226639	21	0.8680841940650499	0.8985156318968888
RKF120	RKF015	283.6522	3329.7482971358336	24	3329.7482971358336	24	3329.7482971358336	24	3329.7482971358336	24	0.8093778769878804	0.8858663438134514
RKF088	RKC021	283.7003	3329.079896627349	21	3329.079896627349	21	3329.079896627349	21	3329.079896627349	21	0.8226829606648759	0.8912388230991386
RKC009	RKC018	268.781	3328.7674803005984	22	3328.7674803005984	22	3328.7674803005984	22	3328.7674803005984	22	0.8899776777269116	0.9011262028173987
