iid	site	sex	period	age	iron_buckle	orientation	belt_harness	age_sex	latitude	longitude	num
RKC018	RK	M	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	18
RKC019	RK	F	MA/LA	Adult	Iron Buckle	NNW-SSE	No Belt/Harness	Adult/F	47.09162	20.227939	19
RKC020	RK	M	MA/LA	Subadult	No Iron Buckle	NNW-SSE	No Belt/Harness	Subadult/M	47.09162	20.227939	20
RKC021	RK	M	MA/LA	Adult	No Iron Buckle	NW-SE	No Belt/Harness	Adult/M	47.09162	20.227939	21
RKC022	RK	M	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	22
RKC023	RK	F	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/F	47.09162	20.227939	23
RKC024	RK	F	MA/LA	Adult	Iron Buckle	NNW-SSE	No Belt/Harness	Adult/F	47.09162	20.227939	24
RKC026	RK	M	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	26
RKC027	RK	M	MA/LA	Subadult	No Iron Buckle	NNW-SSE	No Belt/Harness	Subadult/M	47.09162	20.227939	27
RKC028	RK	M	MA/LA	Adult	Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	28
RKC029	RK	F	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/F	47.09162	20.227939	29
RKC030	RK	M	MA/LA	Adult	Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	30
RKC031	RK	M	MA/LA	Adult	Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	31
RKC032	RK	F	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/F	47.09162	20.227939	32
RKC033	RK	M	MA/LA	Adult	Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	33
RKC035	RK	M	MA/LA	Subadult	No Iron Buckle	NNW-SSE	No Belt/Harness	Subadult/M	47.09162	20.227939	35
RKC036	RK	M	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	36
RKC037	RK	F	MA/LA	Adult	No Iron Buckle	NW-SE	No Belt/Harness	Adult/F	47.09162	20.227939	37
RKC038	RK	M	MA/LA	Adult	Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	38
RKC039	RK	M	MA/LA	Subadult	Iron Buckle	NNW-SSE	No Belt/Harness	Subadult/M	47.09162	20.227939	39
RKC040	RK	F	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/F	47.09162	20.227939	40
RKC042	RK	M	MA/LA	Adult	Iron Buckle	N-S	Belt/Harness	Adult/M	47.09162	20.227939	42
RKC043	RK	M	MA/LA	Adult	No Iron Buckle	NNW-SSE	No Belt/Harness	Adult/M	47.09162	20.227939	43
RKC045	RK	M	MA/LA	Subadult	No Iron Buckle	N-S	No Belt/Harness	Subadult/M	47.09162	20.227939	45
RKC046	RK	M	MA/LA	Subadult	No Iron Buckle	NNW-SSE	No Belt/Harness	Subadult/M	47.09162	20.227939	46
