iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
KUP023	KUP007	283.6522025987506	3402.860296747349	22	3402.860296747349	22	3402.860296747349	22	3402.860296747349	22
RKC029	RKC013	283.7959026917815	3399.336605157987	23	3399.336605157987	23	3399.336605157987	23	3399.336605157987	23
RKF238	RKC031	268.78099282621406	3393.514385362505	22	3393.514385362505	22	3393.514385362505	22	3393.514385362505	22
RKF195	RKF196	283.6522025987506	3390.1611947309	22	3390.1611947309	22	3390.1611947309	22	3390.1611947309	22
RKF142	RKC020	283.6522025987506	3388.959184348641	23	3388.959184348641	23	3388.959184348641	23	3388.959184348641	23
KFJ017	KFJ018	283.6065026000142	3387.165210215608	22	3387.165210215608	22	3387.165210215608	22	3387.165210215608	22
RKF148	RKF182	268.78099282621406	3382.774800033076	23	3382.774800033076	23	3382.774800033076	23	3382.774800033076	23
RKF002	RKF142	279.93650287389755	3382.2863056033384	21	3382.2863056033384	21	3382.2863056033384	21	3382.2863056033384	21
RKF118	RKF162	283.6522025987506	3375.669990987808	22	3375.669990987808	22	3375.669990987808	22	3375.669990987808	22
RKC029	RKC011	281.9609919562936	3370.393186646652	27	3370.393186646652	27	3370.393186646652	27	3370.393186646652	27
RKF172	RKF052	268.7914928275859	3368.830305087613	23	3368.830305087613	23	3368.830305087613	23	3368.830305087613	23
KFJ010	KFJ021	268.78099282621406	3368.538996046118	24	3368.538996046118	24	3368.538996046118	24	3368.538996046118	24
KFJ009	KFJ012	283.02350267767906	3361.3079205344548	26	3361.3079205344548	26	3361.3079205344548	26	3361.3079205344548	26
RKF034	RKF143	268.4530957543757	3352.754615183221	25	3352.754615183221	25	3352.754615183221	25	3352.754615183221	25
RKF136	RKF237	283.6522025987506	3349.7573034328525	22	3349.7573034328525	22	3349.7573034328525	22	3349.7573034328525	22
KFJ009	KFJ022	283.3468025550246	3346.227287322836	25	3346.227287322836	25	3346.227287322836	25	3346.227287322836	25
RKF027	RKF026	268.78099282621406	3346.0271826173994	23	3346.0271826173994	23	3346.0271826173994	23	3346.0271826173994	23
RKF140	RKF142	283.35460256785154	3339.6572369209025	26	3339.6572369209025	26	3339.6572369209025	26	3339.6572369209025	26
RKF256	RKF254	283.58310889452696	3339.452003571205	20	3339.452003571205	20	3339.452003571205	20	3339.452003571205	20
RKF047	RKF160	283.5657026618719	3337.8928964419174	20	3337.8928964419174	20	3337.8928964419174	20	3337.8928964419174	20
RKF164	RKF185	268.0522954731714	3337.647489920346	27	3337.647489920346	27	3324.0106894889323	26	3324.0106894889323	26
RKF172	RKF175	268.78099282621406	3336.9813108467497	28	3336.9813108467497	28	3323.0547094368376	27	3323.0547094368376	27
RKC011	RKC028	280.9604026377201	3336.634698369744	20	3336.634698369744	20	3336.634698369744	20	3336.634698369744	20
RKF250	RKF270	283.6522025987506	3335.783500553225	20	3335.783500553225	20	3335.783500553225	20	3335.783500553225	20
RKF170	RKF213	283.6522025987506	3333.4997042235045	21	3333.4997042235045	21	3319.321404319635	20	3319.321404319635	20
RKF199	RKF142	283.64420253783464	3333.0568917110213	24	3333.0568917110213	24	3333.0568917110213	24	3333.0568917110213	24
RKC021	RKC018	223.23500323836925	3332.829984326964	22	3332.829984326964	22	3332.829984326964	22	3332.829984326964	22
HNJ012	HNJ010	268.78789282927755	3332.081208153977	26	3332.081208153977	26	3332.081208153977	26	3332.081208153977	26
RKF047	RKF037	283.6056025698781	3330.276078217139	22	3330.276078217139	22	3330.276078217139	22	3330.276078217139	22
RKF210	RKF213	283.59240256249905	3330.224302114948	22	3330.224302114948	22	3316.0419014115178	21	3316.0419014115178	21
RKF155	RKF031	283.5657026618719	3330.119098891737	21	3330.119098891737	21	3330.119098891737	21	3330.119098891737	21
KFJ041	KFJ045	283.6522025987506	3329.94179459929	21	3329.94179459929	21	3329.94179459929	21	3329.94179459929	21
RKF256	RKF259	283.6522025987506	3329.90409359918	20	3329.90409359918	20	3329.90409359918	20	3329.90409359918	20
RKF120	RKF015	283.6522025987506	3329.748310686409	24	3329.748310686409	24	3329.748310686409	24	3329.748310686409	24
RKF088	RKC021	283.70030261576176	3329.079895614996	21	3329.079895614996	21	3329.079895614996	21	3329.079895614996	21
RKC009	RKC018	268.78099282621406	3328.7675035920984	22	3328.7675035920984	22	3328.7675035920984	22	3328.7675035920984	22
RKC028	RKC038	283.61090254038567	3326.9803207862424	20	3326.9803207862424	20	3326.9803207862424	20	3326.9803207862424	20
RKC007	RKC009	283.3339026197791	3326.810294661845	21	3326.810294661845	21	3326.810294661845	21	3326.810294661845	21
RKF196	RKF121	283.61090254038567	3321.68509515177	21	3321.68509515177	21	3321.68509515177	21	3321.68509515177	21
RKF250	RKF273	283.5657026618719	3321.626909132465	21	3321.626909132465	21	3321.626909132465	21	3321.626909132465	21
KFJ007	KFJ006	283.28240271657705	3321.587595636811	20	3321.587595636811	20	3321.587595636811	20	3321.587595636811	20
RKF061	RKF145	268.79379282763693	3320.265312155243	30	3299.883611162659	28	3299.883611162659	28	3299.883611162659	28
RKC047	RKC039	268.78099282621406	3319.6216858908883	26	3319.6216858908883	26	3319.6216858908883	26	3319.6216858908883	26
HNJ003	HNJ025	223.24840323781245	3319.469736812607	24	3319.469736812607	24	3319.469736812607	24	3319.469736812607	24
RKF142	RKC023	279.8410028219223	3317.048187254113	21	3317.048187254113	21	3317.048187254113	21	3317.048187254113	21
RKF148	RKF147	268.78099282621406	3315.9756947832648	22	3315.9756947832648	22	3315.9756947832648	22	3315.9756947832648	22
RKF228	RKF084	283.38510263711214	3313.397213466669	22	3313.397213466669	22	3313.397213466669	22	3313.397213466669	22
RKF196	RKF194	283.64420253783464	3313.333910764777	22	3313.333910764777	22	3313.333910764777	22	3313.333910764777	22
KUP019	KUP017	221.9259103178046	3312.253208462789	25	3312.253208462789	25	3299.493213002279	24	3299.493213002279	24
RKF043	RKF046	268.79479282943066	3311.4078853075625	21	3311.4078853075625	21	3311.4078853075625	21	3311.4078853075625	21
KFJ007	KFJ011	283.6522025987506	3311.2407051579794	20	3311.2407051579794	20	3311.2407051579794	20	3311.2407051579794	20
RKF042	RKF209	283.58910270035267	3307.91908086685	26	3296.184881342924	25	3296.184881342924	25	3296.184881342924	25
KUP012	KUP011	278.2964937388897	3306.9821081255213	23	3306.9821081255213	23	3306.9821081255213	23	3306.9821081255213	23
RKC024	RKC012	283.5657026618719	3306.8090027256403	22	3306.8090027256403	22	3306.8090027256403	22	3306.8090027256403	22
RKF148	RKF237	283.59240256249905	3305.5167086131405	24	3305.5167086131405	24	3305.5167086131405	24	3305.5167086131405	24
RKF010	RKF042	280.8464027941227	3303.4361348616585	26	3303.4361348616585	26	3288.4422345041457	25	3288.4422345041457	25
RKC035	RKC032	268.78099282621406	3303.4263123436176	21	3303.4263123436176	21	3303.4263123436176	21	3303.4263123436176	21
RKF170	RKF143	268.78099282621406	3302.6720918351202	21	3302.6720918351202	21	3302.6720918351202	21	3302.6720918351202	21
RKF018	RKF020	268.78099282621406	3302.013800671557	21	3302.013800671557	21	3302.013800671557	21	3302.013800671557	21
RKF120	RKF023	283.64420253783464	3301.9642064420623	23	3301.9642064420623	23	3301.9642064420623	23	3301.9642064420623	23
RKF139	RKF157	283.38510263711214	3300.352398814721	21	3300.352398814721	21	3300.352398814721	21	3300.352398814721	21
RKF113	RKF116	283.3160089328885	3300.325587381667	26	3300.325587381667	26	3300.325587381667	26	3283.9714795249165	25
RKF014	RKC028	280.8649025857449	3300.2627948328154	21	3300.2627948328154	21	3300.2627948328154	21	3300.2627948328154	21
RKF034	RKF213	268.78099282621406	3299.3986056135327	21	3299.3986056135327	21	3299.3986056135327	21	3299.3986056135327	21
RKF218	RKF020	283.6522025987506	3297.8644186936435	28	3297.8644186936435	28	3282.98442906962	27	3282.98442906962	27
RKF042	RKF016	283.61090254038567	3296.234192721022	21	3296.234192721022	21	3296.234192721022	21	3296.234192721022	21
RKF140	RKF014	283.64420253783464	3296.0353917296743	26	3296.0353917296743	26	3296.0353917296743	26	3296.0353917296743	26
RKF004	RKF139	268.78099282621406	3294.799078155484	24	3294.799078155484	24	3294.799078155484	24	3294.799078155484	24
RKF010	RKF028	268.81169282860355	3294.732298895542	27	3294.732298895542	27	3294.732298895542	27	3294.732298895542	27
RKF258	RKF255	283.59240256249905	3294.524023977101	20	3294.524023977101	20	3294.524023977101	20	3294.524023977101	20
RKF268	RKF270	216.2345919758081	3294.5174752909224	32	3272.583873709664	30	3272.583873709664	30	3254.49697424192	29
RKF155	RKF153	268.78099282621406	3291.999278354342	22	3291.999278354342	22	3291.999278354342	22	3291.999278354342	22
KUP009	KUP018	277.2124888375401	3291.501682039234	21	3291.501682039234	21	3291.501682039234	21	3291.501682039234	21
KUP022	KUP026	268.78099282621406	3287.86788242287	26	3287.86788242287	26	3287.86788242287	26	3287.86788242287	26
RKC024	RKC028	283.38510263711214	3282.107401458052	24	3282.107401458052	24	3282.107401458052	24	3282.107401458052	24
RKF140	RKF238	248.3335994184017	3280.2688257943373	29	3280.2688257943373	29	3280.2688257943373	29	3262.4341253656894	28
RKF042	RKF142	279.9181029200554	3279.465799541504	25	3279.465799541504	25	3279.465799541504	25	3279.465799541504	25
KFJ039	KFJ029	283.5657026618719	3277.7508113809745	29	3277.7508113809745	29	3277.7508113809745	29	3259.842410979036	28
RKF140	RKF209	278.98150235414505	3274.72376843507	30	3256.541077143629	28	3241.4148726529675	27	3241.4148726529675	27
RKF207	RKF147	223.24080323742243	3272.762619991954	24	3272.762619991954	24	3272.762619991954	24	3272.762619991954	24
RKF158	RKF151	268.78099282621406	3271.804294391768	25	3271.804294391768	25	3259.026691719191	24	3259.026691719191	24
RKF164	RKF181	223.24840323781245	3269.686599045963	27	3250.8641982443805	25	3250.8641982443805	25	3232.037403620052	24
RKF172	RKF173	267.9641967464704	3268.9403098956973	22	3268.9403098956973	22	3268.9403098956973	22	3268.9403098956973	22
RKF163	RKF164	283.61090254038567	3262.8813805589743	34	3262.8813805589743	34	3262.8813805589743	34	3262.8813805589743	34
RKC035	RKC031	280.8464027941227	3260.1699105347507	20	3260.1699105347507	20	3260.1699105347507	20	3260.1699105347507	20
RKF050	RKF175	257.8423023223877	3253.072600431915	27	3253.072600431915	27	3253.072600431915	27	3253.072600431915	27
RKF011	RKF099	223.2374032377265	3250.1905126089696	25	3250.1905126089696	25	3235.358313989127	24	3235.358313989127	24
RKF218	RKF042	268.78789282927755	3250.0294066885544	26	3250.0294066885544	26	3235.6439091185166	25	3235.6439091185166	25
RKF036	RKF031	283.61090254038567	3249.457295839966	31	3230.212899153412	29	3217.806490366638	28	3199.7551879336243	27
KFJ009	KFJ040	283.38510263711214	3248.672189507488	28	3248.672189507488	28	3248.672189507488	28	3248.672189507488	28
RKF207	RKF237	268.78099282621406	3248.03878699604	29	3248.03878699604	29	3248.03878699604	29	3210.3554907924263	27
RKF067	RKF129	267.83048947690986	3244.965573362424	24	3244.965573362424	24	3244.965573362424	24	3244.965573362424	24
RKF036	RKF153	268.78099282621406	3243.0150029576907	28	3243.0150029576907	28	3243.0150029576907	28	3243.0150029576907	28
RKC019	RKC020	214.19399355072528	3241.3195995017304	26	3241.3195995017304	26	3225.648899297812	25	3225.648899297812	25
RKF105	RKF109	214.2369969689753	3240.5292762690806	26	3240.5292762690806	26	3240.5292762690806	26	3221.230276139977	25
RKF185	RKF148	256.55600130558014	3235.1746943408216	23	3235.1746943408216	23	3235.1746943408216	23	3235.1746943408216	23
RKF218	RKF198	255.76780140399933	3227.9006132957875	21	3217.3811087486683	20	3217.3811087486683	20	3217.3811087486683	20
RKF140	RKF016	222.9065032443032	3223.358618366183	26	3223.358618366183	26	3223.358618366183	26	3223.358618366183	26
RKF218	RKF028	283.5614025592804	3222.5423880154267	23	3222.5423880154267	23	3222.5423880154267	23	3222.5423880154267	23
RKF148	RKF226	283.5657026618719	3219.6305032935925	26	3219.6305032935925	26	3219.6305032935925	26	3219.6305032935925	26
RKF105	RKF117	214.1698035644368	3212.103712833777	28	3202.5854113468085	27	3202.5854113468085	27	3202.5854113468085	27
RKF231	RKF120	283.64420253783464	3209.89759833592	32	3209.89759833592	32	3209.89759833592	32	3191.31370455998	31
RKF201	RKF179	226.0668903589249	3201.894887602976	31	3201.894887602976	31	3201.894887602976	31	3184.167587078264	30
RKF207	RKF226	268.79479282943066	3199.2708871723157	26	3199.2708871723157	26	3187.01158738113	25	3187.01158738113	25
KUP010	KUP023	209.16760235559195	3194.6307221995085	31	3194.6307221995085	31	3181.6461228692788	30	3146.2179087960976	28
RKF268	RKF273	237.54720389842987	3192.1134040298057	28	3192.1134040298057	28	3192.1134040298057	28	3192.1134040298057	28
KFJ009	KFJ017	195.8170890808105	3183.0334785496234	34	3183.0334785496234	34	3170.2154758488177	33	3170.2154758488177	33
RKC019	RKC023	219.1180031746626	3182.7415839288733	27	3182.7415839288733	27	3182.7415839288733	27	3182.7415839288733	27
KUP010	KUP012	210.13249748793896	3182.0600920778816	33	3182.0600920778816	33	3167.490583048493	32	3132.758784861653	30
HNJ011	HNJ012	272.1867896616459	3175.464354743599	41	3166.9680583378067	40	3166.9680583378067	40	3090.076759448857	36
RKF011	RKF191	177.98509001731873	3173.82849688438	30	3173.82849688438	30	3161.466895889316	29	3161.466895889316	29
RKF013	RKF017	260.5872992426157	3171.349385511712	32	3159.4811850605765	31	3159.4811850605765	31	3142.5161832390586	30
KFJ005	KFJ006	280.0739089027047	3169.444721614127	23	3169.444721614127	23	3169.444721614127	23	3151.821222578292	22
RKF058	RKF080	211.7118987487629	3164.7684920884785	31	3154.888992414635	30	3139.5978916742024	29	3122.0112923838315	28
KFJ009	KFJ010	268.78099282621406	3150.4169105319306	26	3139.794111135416	25	3139.794111135416	25	3139.794111135416	25
KFJ020	KFJ012	283.4682026878	3143.2727100342163	32	3134.6990110367187	31	3134.6990110367187	31	3134.6990110367187	31
RKF201	RKF129	223.2374032377265	3132.44720994553	33	3132.44720994553	33	3105.954210666823	31	3105.954210666823	31
RKF193	RKF078	212.84831140656024	3127.354804278002	43	3127.354804278002	43	3115.04070435476	42	3098.476905867574	41
RKC027	RKC011	212.0522961951792	3102.1087765257107	39	3079.694473699783	37	3066.8581723730317	36	2995.2724754373776	32
KFJ028	KFJ024	221.65719270706177	3098.358764903969	39	3075.4093643598026	37	3061.774164097733	36	3061.774164097733	36
RKF211	RKF037	268.78099282621406	3073.336507073691	35	3073.336507073691	35	3058.1740987217927	34	3038.184900275519	33
KFJ020	KFJ043	174.44789921864867	3063.3990907954285	32	3044.816699056537	30	3029.4550085352967	29	3012.4106073664734	28
RKF064	RKF147	180.8803960768273	3061.5203956112964	47	3028.350601528655	44	3015.4967049107654	43	2996.187506054412	42
RKC033	RKC036	174.4862992200069	3057.0305147382896	42	3045.705214998452	41	3045.705214998452	41	3029.677108785836	40
RKC027	RKC010	182.6212003827095	3052.5657988982857	42	3036.2319923835457	40	3009.5032926707063	38	2973.2460882572923	36
RKF081	RKF061	180.9006960771512	3049.205883758259	39	3049.205883758259	39	3035.4703807999613	38	3001.7939792742254	36
KFJ020	KFJ045	199.41599413868968	3042.883388214977	39	3031.350188405486	38	3000.3556872194167	36	2980.7886863534804	35
KFJ020	KFJ022	283.1910025328398	3033.3964880708663	43	3003.1140919927566	40	2974.686492945329	38	2935.327495600359	36
KFJ020	KFJ007	234.41541036008857	3027.769881369022	34	3027.769881369022	34	3027.769881369022	34	3009.4846783889807	33
RKF190	RKF198	283.36290270090103	3024.221529942588	32	3012.927829605178	31	2986.703729015426	29	2986.703729015426	29
KFJ020	KFJ017	179.56169610843062	3019.644046407484	45	3011.5865355546703	44	2954.120733316813	40	2936.7417295536143	39
RKF040	RKF032	168.2101130485535	2992.672883090563	48	2982.9036818118766	47	2937.569479760714	44	2881.488697347231	41
RKF211	RKF160	268.78099282621406	2990.2256653644145	46	2990.2256653644145	46	2950.1600698567927	43	2930.3836659528315	42
KUP024	KUP022	262.775007635355	2981.0981957023614	38	2981.0981957023614	38	2966.770296335744	37	2966.770296335744	37
RKC033	RKC038	193.11470153625123	2964.182167541003	48	2945.3091793169733	46	2877.431891154265	41	2809.350989054656	37
HNJ016	HNJ015	203.6351116374135	2953.6379635042977	50	2944.3020641512703	49	2900.1543700404	46	2862.0046676311176	44
HNJ016	HNJ026	197.7959020063281	2940.0534971951856	55	2930.338595747889	54	2869.842891022563	50	2852.0885925740004	49
KFJ020	KFJ040	166.0871998523362	2936.4779241870565	34	2925.605822403304	33	2925.605822403304	33	2925.605822403304	33
RKC033	RKC030	180.796496081166	2932.7230565133505	53	2923.7608604016714	52	2881.616461125668	49	2828.590860811528	46
HNJ016	HNJ011	186.01069450378412	2914.6124021921423	43	2894.266994467762	41	2850.211790956382	38	2850.211790956382	38
RKC033	RKC031	151.6595959663391	2905.1333126422837	59	2881.9774147865246	57	2781.643909816921	50	2745.504505043209	48
HNJ016	HNJ014	178.6857008934021	2902.807104459498	46	2841.786200529896	40	2829.076000279747	39	2810.084005421959	38
RKF040	RKF046	194.7745000536088	2865.608580855769	50	2835.3222806734266	47	2793.2865788025083	44	2714.9829705042066	40
RKC033	RKC042	173.97000030614436	2858.6753492912976	59	2829.146946009132	56	2761.593847509357	51	2655.610453124973	45
RKC033	RKC002	146.6990977525711	2817.856702435529	59	2786.939301440725	56	2705.4399096465204	50	2601.535099031753	44
RKC008	RKC007	154.52870428562164	2785.5079036555253	66	2719.11708827829	60	2612.505782803055	52	2538.287193735596	48
RKF147	RKF237	191.5728040970862	2769.661315198755	37	2760.786715062568	36	2748.1318145117257	35	2731.9715139004984	34
RKC008	RKC021	158.43989718705416	2757.0050516020274	61	2700.8322634588694	55	2663.0298646661686	52	2612.069669601624	49
KFJ049	KFJ051	183.3836956415325	2717.6176132234104	33	2708.483615663863	32	2708.483615663863	32	2708.483615663863	32
RKF226	RKF147	177.63129801023751	2691.689695249079	37	2662.920295278309	34	2637.022592703579	32	2637.022592703579	32
KFJ013	KFJ015	268.80719282780774	2658.286798712652	30	2658.286798712652	30	2615.106694507267	27	2595.9693954464456	26
RKF254	RKF259	216.673195362091	2595.4852901850245	29	2595.4852901850245	29	2580.349087015202	28	2540.899689075013	26
RKF031	RKF141	283.6522025987506	2595.3889949334557	33	2586.27588582167	32	2558.586083119735	30	2539.4551855977625	29
RKF053	RKF124	186.9553002994508	2591.6014957867446	35	2551.5444965523784	31	2535.654595629603	30	2535.654595629603	30
KFJ050	KFJ049	222.2639032639563	2576.1389793820854	34	2576.1389793820854	34	2560.7848705716606	33	2543.990171141195	32
