iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
KUP023	KUP007	283.6522025987506	3402.860296747349	22	3402.860296747349	22	3402.860296747349	22	3402.860296747349	22
RKC029	RKC013	283.7959026917815	3399.336605157987	23	3399.336605157987	23	3399.336605157987	23	3399.336605157987	23
RKF238	RKC031	268.78099282621406	3393.514385362505	22	3393.514385362505	22	3393.514385362505	22	3393.514385362505	22
RKF195	RKF196	283.6522025987506	3390.1611947309	22	3390.1611947309	22	3390.1611947309	22	3390.1611947309	22
RKF142	RKC020	283.6522025987506	3388.959184348641	23	3388.959184348641	23	3388.959184348641	23	3388.959184348641	23
KFJ017	KFJ018	283.6065026000142	3387.165210215608	22	3387.165210215608	22	3387.165210215608	22	3387.165210215608	22
RKF148	RKF182	268.78099282621406	3382.774800033076	23	3382.774800033076	23	3382.774800033076	23	3382.774800033076	23
RKF002	RKF142	279.93650287389755	3382.2863056033384	21	3382.2863056033384	21	3382.2863056033384	21	3382.2863056033384	21
RKF118	RKF162	283.6522025987506	3375.669990987808	22	3375.669990987808	22	3375.669990987808	22	3375.669990987808	22
RKC029	RKC011	281.9609919562936	3370.393186646652	27	3370.393186646652	27	3370.393186646652	27	3370.393186646652	27
