iid	frac_gp	frac_missing	frac_het	n_cov_snp	Archaeological_ID	Master_ID	Projects	Locality	Province	Country	Latitude	Longitude	date	date_type	imputation_type
RKO006	0.9532115066903762	0.0339878677815191	0.2693049827853657	1154253	190/388	RKO006	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	201:400	Site	Internal
RKO002	0.9528205516249858	0.0339878677815191	0.2685230726545849	1043584	331/441	RKO002	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	201:400	Site	Internal
RKF270	0.9507018273996444	0.0339878677815191	0.260136455929275	891830	621/746	RKF270	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	501:900	Site	Internal
RKF273	0.9315576406492376	0.0339878677815191	0.2709318603155385	831942	623/748	RKF273	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	501:900	Site	Internal
RKO003	0.9274210838283328	0.0339878677815191	0.2712849810197622	939881	543/669	RKO003	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	201:400	Site	Internal
RKF259	0.9271562433001652	0.0339878677815191	0.2682582321264172	968517	210/279	RKF259	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	501:900	Site	Internal
KFJ015	0.9219603243665896	0.0339878677815191	0.2648279167139596	998608	15	KFJ014	GnecchiRusconeNature2024	Kunszállás-Fülöpjakab (Bács-Kiskun County, Kecskemét)	Bács-Kiskun	Hungary	46.7627801	19.7532925	601:700	Site	Internal
RKF275	0.9215441463937548	0.0339878677815191	0.2590518709091597	912674	697/826 gepida	RKF275	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	501:900	Site	Internal
KUP016	0.9215189234863104	0.0339878677815191	0.2673880418195805	992919	20a	KUP016	GnecchiRusconeNature2024	Kunpeszér-Felsőpeszéri út (Bács-Kiskun County)	Bács-Kiskun	Hungary	47.0611502	19.2753764	601:700	Site	Internal
RKF157	0.921228860050698	0.0339878677815191	0.2744756788114966	983817	824/959	RKF157	GnecchiRusconeNature2024	Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)	Jász-Nagykun-Szolnok	Hungary	47.09162	20.227939	501:900	Site	Internal
